SN,File No,Subject,Vote of Charge,Department,Naration,Proposed Amount,Actual Amount,Status,Remarks,Date Sent,Date Approved,Proposed Amount_num,Actual Amount_num,Stage,Pending Value,Aging Days,Aging Bucket
311,CIC/ACCTS/1015/III (2026),ACCOUNTS MATTERS,Office Equipment and Renovation -: 004/04002/02/777/11009/6129/45011,Accounts,APPROVAL OF FUNDS FOR FINANCE AND ACCOUNTS DEPARTMENT,"₦24,900,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,05/02/26,01/01/70,24900000.0,0.0,MG,24900000.0,71,60+ days
318,CCTI/AD. 2016,PURCHASE OF LAW REPORTS,Legal Unit -: 004/04002/01/706/11009/0000/40701,Legal,"REQUEST FOR FUNDS FOR THE PROCUREMENT OF LEGAL RESEARCH MATERIALS (BOOKS AND COURT AUTOMATED INFORMATION PACKS) FOR 2026 FOR THE LEGAL UNIT OF THE MINISTRY OF COMMERCE, COOPERATIVES, TRADE AND INVESTMENT","₦9,891,000.00","₦9,891,000.00",Approved by DG,,05/02/26,05/02/26,9891000.0,9891000.0,DG,0.0,71,60+ days
321,CCTI/AD/1148  (2026),COOPERATIVES AREA OFFICES DIGITAL CONSUMABLE,(UPKEEP AND MAINTENANCE ALLOWANCE)Area Office Expenses -: 004/04002/01/775/11009/0000/40326,Cooperatives,REQUEST FOR THE PROCUREMENT OF DIGITAL CONSUMABLES FOR COOPERATIVES AREA OFFICES,"₦17,337,500.00","₦17,437,500.00",Approved by DG,,05/02/26,27/02/26,17337500.0,17437500.0,DG,-100000.0,71,60+ days
339,CIC/ADC. 1136 I,VOTE OF CHARGE FOR LEGAL UNIT,Legal Unit -: 004/04002/01/706/11009/0000/40701,Legal,"REQUEST FOR FUNDS TO PROCUREMENT STATIONERY ITEMS AND OFFICE CONSUMABLES FOR Y2026 FOR THE LEGAL UNIT OF THE MINISTRY OF COMMERCE, COOPERATIVES, TRADE AND INVESTMENT (MCCTI)","₦4,948,400.00","₦4,948,400.00",Approved by DG,,05/02/26,27/02/26,4948400.0,4948400.0,DG,0.0,71,60+ days
6,CI/CC. 169/S.2 T,LEKKI FREE TRADE ZONE UNITIES RELATION MATTERS,Welfare Expenses -: 004/04002/01/702/11009/0000/41929,Commerce,REQUEST FOR APPROVAL AND RELEASE OF FUNDS FOR CUSTOMARY ILEYA  (2026) GIFTS TO HOST COMMUNITIES WITHIN THE LEKKI FREE ZONE CORRIDOR,"₦34,650,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,09/02/26,01/01/70,34650000.0,0.0,MG,34650000.0,67,60+ days
25,CCTI/AD. 766 VII    (2026),STAFF WELFARE,Staff Welfare & Festivities -: 004/04002/01/702/11009/0000/41929,Admin/HR,REQUEST FOR RELEASE OF FUNDS FOR FINANCIAL ASSISTANCE TO STAFF AND PAYMENT OF TOKEN TO DECEASED FAMILY FOR THE YEAR 2026,"₦20,000,000.00",₦0.00,Awaiting Approval - MEBP,,09/02/26,01/01/70,20000000.0,0.0,MEBP,20000000.0,67,60+ days
46,LASCOPA/CE/267 II,CONSUMER PROTECTION ADVOCACY CLUB PROGRAMME,,LASCOPA,REQUEST FOR APPROVAL FOR THE RELEASE OF FUNDS FOR CONSUMER EDUCATION CONTINUOUS ADVOCACY PROGRAMME IN PUBLIC AND PRIVATE SCHOOLS IN LAGOS STATE,"₦5,000,000.00",₦0.00,Awaiting Approval - MEBP,,09/02/26,01/01/70,5000000.0,0.0,MEBP,5000000.0,67,60+ days
50,LASCOPA/CE/178 I,ROAD SHOW & CMPAIGN ON EFFECT OF SUNLIGHT ON BOTTLE DRINK,,LASCOPA,"REQUEST FOR APPROVAL FOR ROADSHOW AND CAMPAIGN ON THE EFFECT OF EXPOSURE OF PLASTIC BOTTLED DRINKS UNDER THE SUNLIGHT AND AFTERMATH ON CONSUMERS"" AT SHOMOLU/BARIGA","₦10,000,000.00",₦0.00,Awaiting Approval - MEBP,,09/02/26,01/01/70,10000000.0,0.0,MEBP,10000000.0,67,60+ days
55,CCTI/ADC. 2023,PURCHASE OF OFFICE FURNITURE FOR COOPERATIVE AREA OFFICES,Office Equipment and Renovation -: 004/04002/02/777/11009/6129/45011,Cooperatives,PURCHASE OF OFFICE FURNITURE FOR COOPERATIVE AREA OFFICES,"₦61,331,800.00",₦0.00,Awaiting Approval - Mr Governor (MG),,09/02/26,01/01/70,61331800.0,0.0,MG,61331800.0,67,60+ days
58,CIC/AD. 1070     (2026),FUELING OF VEHICLES,Refurbishment of Operational Vehicles  -: 004/04002/02/701/11009/6482/45053,Admin/HR,"REQUEST FOR FUNDS FOR REFURBISHMENT OF OFFICIAL VEHICLES OF THE HONOURABLE COMMISSIONER, THE PERMANENT SECRETARY AND THE DIRECTOR ADMIN. & HR OF THE MINISTRY OF COMMERCE, COOPERATIVES, TRADE & INVESTMENT","₦7,025,000.00","₦7,025,000.00",Approved by DG,,09/02/26,17/03/26,7025000.0,7025000.0,DG,0.0,67,60+ days
